order_item_id,order_id,user_id,product_id,created_at,shipped_at,delivered_at,returned_at,sale_price
OI33751,O23204,U18502,P011,2021-07-25,,,,9.5
OI74338,O51182,U40886,P004,2023-04-07,,,,9.5
OI151888,O104650,U83752,P008,2023-03-19,2023-03-23,,,10
OI26084,O17932,U14294,P008,2022-01-21,2022-01-24,2022-01-27,,10
OI40506,O27859,U22140,P008,2023-04-04,2023-04-06,2023-04-08,,10
OI50672,O34827,U27729,P008,2022-09-30,2022-10-02,2022-10-02,,10
OI78144,O53806,U42995,P008,2023-01-17,2023-01-19,2023-01-23,,10
OI125991,O86909,U69564,P008,2021-10-08,2021-10-09,2021-10-10,,10
OI51669,O35485,U28269,P004,2022-08-02,2022-08-03,,,11
OI160056,O110311,U88288,P004,2023-02-28,2023-03-01,,,11
OI21722,O14942,U12002,P004,2022-10-03,2022-10-02,2022-10-04,,11
OI163832,O112889,U90310,P004,2022-09-11,2022-09-09,2022-09-11,,11
OI78225,O53852,U43036,P004,2022-04-01,2022-04-01,2022-04-04,2022-04-06,11
OI81613,O56214,U44998,P004,2020-09-27,2020-09-27,2020-10-01,2020-10-03,11
OI107983,O74485,U59623,P004,2023-03-20,2023-03-21,2023-03-24,2023-03-26,11
OI130350,O89946,U71990,P004,2022-02-27,,,,11
OI172524,O118801,U95032,P004,2022-12-01,,,,11
OI48263,O33203,U26424,P004,2023-04-07,,,,11
OI86832,O59885,U47967,P004,2023-03-20,,,,11
OI130763,O90219,U72209,P004,2021-12-31,,,,11
OI173149,O119251,U95389,P004,2023-06-19,,,,11
OI133845,O92343,U73952,P005,2021-07-14,2021-07-14,,,12
OI166871,O114957,U91949,P005,2021-07-06,2021-07-08,2021-07-09,,12
OI87593,O60410,U48403,P005,2021-09-03,,,,12
OI77129,O53097,U42421,P005,2023-06-05,,,,12
OI1825,O1237,U993,P004,2022-06-01,2022-06-03,2022-06-05,,12.5
OI98730,O68100,U54514,P004,2022-03-29,2022-03-30,2022-04-02,,12.5
OI110529,O76236,U61022,P004,2023-01-17,2023-01-17,2023-01-22,,12.5
OI141997,O97902,U78389,P004,2022-01-12,2022-01-12,2022-01-13,2022-01-16,12.5
OI93864,O64751,U51833,P004,2023-01-29,,,,12.5
OI80406,O55390,U44296,P004,2022-11-07,,,,12.5
OI144957,O99924,U80000,P004,2023-03-19,,,,12.5
OI92706,O63937,U51188,P006,2023-04-03,2023-04-02,,,14
OI118755,O81930,U65453,P006,2019-12-14,2019-12-14,,,14
OI58814,O40430,U32199,P006,2021-06-07,2021-06-08,2021-06-13,,14
OI176868,O121864,U97516,P006,2023-05-19,2023-05-18,2023-05-22,,14
OI167534,O115407,U92322,P006,2022-05-20,2022-05-21,2022-05-23,2022-05-25,14
OI99854,O68838,U55118,P006,2022-01-19,,,,14
OI121258,O83658,U66806,P006,2021-09-01,,,,14
OI26507,O18224,U14518,P006,2021-03-16,,,,14
OI50847,O34941,U27818,P006,2023-05-09,,,,14
OI172196,O118586,U94848,P007,2023-06-14,2023-06-15,,,14.5
OI112846,O77837,U62254,P007,2023-06-30,2023-06-28,2023-07-01,,14.5
OI37377,O25680,U20428,P007,2022-04-29,2022-04-30,2022-05-03,2022-05-05,14.5
OI85008,O58581,U46933,P007,2023-02-12,,,,14.5
OI127125,O87692,U70196,P007,2023-05-17,,,,14.5
OI18677,O12850,U10256,P004,2023-03-31,2023-04-02,,,15
OI23943,O16473,U13172,P004,2023-02-08,2023-02-09,,,15
OI41138,O28317,U22520,P008,2023-03-28,2023-03-30,,,15
OI50902,O34973,U27845,P003,2022-12-06,2022-12-08,,,15
OI104059,O71798,U57504,P003,2023-01-22,2023-01-22,,,15
OI128462,O88632,U70955,P008,2023-07-01,2023-06-28,,,15
OI128644,O88759,U71049,P003,2022-12-10,2022-12-12,,,15
OI156322,O107713,U86191,P004,2022-09-13,2022-09-11,,,15
OI32631,O22438,U17894,P003,2021-11-19,2021-11-20,2021-11-23,,15
OI35805,O24629,U19604,P004,2022-10-30,2022-10-30,2022-11-03,,15
OI44616,O30698,U24444,P004,2022-08-18,2022-08-18,2022-08-21,,15
OI69349,O47736,U38138,P008,2023-03-13,2023-03-15,2023-03-16,,15
OI70639,O48618,U38871,P003,2023-04-04,2023-04-03,2023-04-04,,15
OI70704,O48658,U38900,P003,2022-05-08,2022-05-08,2022-05-13,,15
OI117593,O81142,U64828,P008,2019-05-14,2019-05-14,2019-05-15,,15
OI176942,O121908,U97547,P004,2021-10-06,2021-10-08,2021-10-11,,15
OI21425,O14735,U11831,P003,2022-10-05,2022-10-03,2022-10-05,2022-10-08,15
OI26623,O18303,U14576,P003,2023-06-26,2023-06-24,2023-06-25,2023-06-27,15
OI61117,O42031,U33511,P008,2021-06-15,2021-06-17,2021-06-21,2021-06-23,15
OI143118,O98655,U78987,P004,2022-10-23,2022-10-23,2022-10-26,2022-10-28,15
OI156732,O108006,U86420,P003,2022-05-28,2022-05-31,2022-06-04,2022-06-06,15
OI37580,O25832,U20544,P008,2022-10-04,,,,15
OI104948,O72413,U57980,P008,2023-02-01,,,,15
OI5905,O4043,U3231,P008,2020-07-23,,,,15
OI63751,O43828,U34986,P004,2022-07-28,,,,15
OI68255,O47033,U37544,P008,2022-08-05,,,,15
OI102258,O70510,U56475,P003,2022-09-18,,,,15
OI120145,O82894,U66210,P003,2023-01-28,,,,15
OI156472,O107812,U86266,P008,2021-05-11,,,,15
OI2435,O1646,U1312,P006,2022-11-25,2022-11-23,,,17
OI9526,O6509,U5254,P006,2021-02-24,2021-02-26,,,17
OI48439,O33329,U26532,P006,2020-12-25,2020-12-26,,,17
OI140342,O96743,U77455,P006,2020-08-10,2020-08-10,,,17
OI181376,O124985,U99976,P006,2022-06-27,,,,17
OI153858,O105986,U84819,P006,2021-07-11,,,,17
OI7039,O4812,U3838,P005,2023-01-12,2023-01-13,,,18
OI25484,O17521,U13978,P005,2022-10-03,2022-10-04,,,18
OI41076,O28272,U22481,P007,2020-12-30,2020-12-30,,,18
OI62286,O42831,U34177,P005,2021-04-15,2021-04-15,,,18
OI83935,O57815,U46307,P007,2022-04-12,2022-04-13,,,18
OI89167,O61516,U49289,P007,2021-11-25,2021-11-25,,,18
OI156729,O108003,U86419,P007,2020-01-04,2020-01-05,,,18
OI149049,O102736,U82264,P007,2022-06-30,2022-07-01,2022-07-03,,18
OI167326,O115266,U92218,P007,2022-04-15,2022-04-14,2022-04-17,,18
OI179789,O123862,U99108,P005,2023-06-07,2023-06-09,2023-06-10,,18
OI37567,O25822,U20536,P005,2023-04-18,2023-04-18,2023-04-20,2023-04-21,18
OI55562,O38188,U30401,P005,2019-11-28,2019-11-27,2019-11-30,2019-12-02,18
OI101746,O70153,U56192,P005,2022-07-25,2022-07-26,2022-07-31,2022-07-31,18
OI132514,O91427,U73188,P007,2021-04-09,2021-04-11,2021-04-15,2021-04-16,18
OI169737,O116900,U93516,P007,2021-08-21,2021-08-21,2021-08-23,2021-08-25,18
OI38094,O26206,U20838,P005,2021-10-06,,,,18
OI58998,O40560,U32314,P005,2021-08-04,,,,18
OI91486,O63121,U50557,P005,2020-06-16,,,,18
OI28849,O19811,U15811,P005,2020-01-16,,,,18
OI129751,O89533,U71665,P007,2023-02-12,,,,18
OI175712,O121058,U96830,P007,2022-10-10,,,,18
OI66618,O45873,U36629,P005,2022-06-11,2022-06-11,,,19
OI44578,O30670,U24421,P005,2022-05-21,2022-05-19,2022-05-19,,19
OI175264,O120736,U96579,P005,2022-08-25,2022-08-24,2022-08-25,,19
OI17450,O12008,U9577,P005,2023-03-14,2023-03-14,2023-03-15,2023-03-16,19
OI179742,O123829,U99085,P005,2023-06-23,2023-06-19,2023-06-24,2023-06-24,19
OI19447,O13380,U10696,P005,2023-02-20,,,,19
OI26149,O17977,U14327,P005,2021-07-02,,,,19
OI88705,O61195,U49031,P005,2021-11-15,,,,19
OI15356,O10592,U8486,P008,2023-01-04,2023-01-05,,,20
OI29761,O20448,U16331,P008,2023-03-21,2023-03-20,,,20
OI95454,O65853,U52681,P008,2020-04-29,2020-05-02,,,20
OI109015,O75201,U60207,P007,2022-06-09,2022-06-05,,,20
OI4931,O3366,U2684,P008,2022-04-18,2022-04-17,2022-04-21,,20
OI18987,O13061,U10426,P008,2021-11-07,2021-11-07,2021-11-09,,20
OI20401,O14027,U11262,P007,2023-03-21,2023-03-19,2023-03-22,2023-03-24,20
OI14850,O10239,U8228,P008,2020-11-20,,,,20
OI86713,O59805,U47899,P007,2020-10-11,,,,20
OI116544,O80397,U64267,P008,2022-09-02,,,,20
OI123108,O84926,U67861,P008,2023-06-26,,,,20
OI178784,O123188,U98559,P007,2022-09-18,,,,20
OI32144,O22097,U17623,P006,2023-04-11,2023-04-12,,,21
OI33258,O22886,U18242,P006,2022-07-16,2022-07-16,,,21
OI37873,O26049,U20716,P006,2023-02-25,2023-02-27,,,21
OI71143,O48952,U39116,P006,2020-09-18,2020-09-18,,,21
OI130167,O89828,U71886,P006,2022-05-15,2022-05-15,,,21
OI93139,O64240,U51436,P006,2023-06-30,,,,21
OI173637,O119597,U95640,P006,2020-09-13,,,,21
OI60135,O41343,U32950,P006,2023-05-29,,,,21
OI12289,O8444,U6770,P006,2022-09-26,2022-09-28,,,22
OI38298,O26343,U20942,P006,2023-02-22,2023-02-24,,,22
OI44373,O30514,U24288,P007,2023-06-09,2023-06-09,,,22
OI50737,O34873,U27761,P004,2023-04-17,2023-04-15,,,22
OI57829,O39726,U31623,P006,2023-05-01,2023-04-29,,,22
OI67808,O46707,U37277,P007,2022-01-02,2022-01-05,,,22
OI76768,O52844,U42234,P007,2023-03-20,2023-03-18,,,22
OI82220,O56624,U45323,P001,2021-08-12,2021-08-12,,,22
OI126775,O87456,U70002,P007,2021-06-30,2021-06-26,,,22
OI146551,O101010,U80868,P004,2023-03-03,2023-03-05,,,22
OI172708,O118923,U95125,P004,2022-10-07,2022-10-08,,,22
OI45174,O31077,U24745,P006,2020-06-02,2020-06-03,2020-06-05,,22
OI59250,O40739,U32444,P004,2020-06-15,2020-06-14,2020-06-15,,22
OI68612,O47266,U37746,P006,2023-03-12,2023-03-13,2023-03-13,,22
OI80760,O55635,U44506,P006,2023-06-06,2023-06-06,2023-06-08,,22
OI115669,O79760,U63748,P007,2022-05-20,2022-05-22,2022-05-24,,22
OI119139,O82190,U65657,P001,2022-08-23,2022-08-22,2022-08-22,,22
OI137744,O95000,U76041,P004,2022-06-05,2022-06-07,2022-06-10,,22
OI147002,O101320,U81117,P007,2023-06-12,2023-06-09,2023-06-13,,22
OI149250,O102891,U82386,P006,2021-01-08,2021-01-07,2021-01-10,,22
OI149669,O103156,U82570,P004,2022-02-13,2022-02-15,2022-02-20,,22
OI19010,O13076,U10440,P006,2022-08-17,2022-08-18,2022-08-20,2022-08-21,22
OI90261,O62264,U49888,P001,2019-11-11,2019-11-13,2019-11-15,2019-11-16,22
OI166850,O114942,U91934,P007,2023-01-06,2023-01-08,2023-01-10,2023-01-13,22
OI168722,O116232,U92994,P006,2023-05-11,2023-05-08,2023-05-13,2023-05-15,22
OI53822,O36981,U29444,P006,2023-02-19,,,,22
OI58605,O40289,U32090,P004,2023-01-07,,,,22
OI72668,O50017,U39975,P001,2022-12-15,,,,22
OI132374,O91334,U73102,P006,2023-05-03,,,,22
OI162811,O112218,U89768,P001,2023-03-06,,,,22
OI36443,O25047,U19917,P007,2023-04-11,,,,22
OI50413,O34652,U27591,P001,2023-03-01,,,,22
OI50555,O34741,U27651,P004,2021-05-24,,,,22
OI92470,O63783,U51063,P001,2022-01-29,,,,22
OI96557,O66626,U53312,P006,2023-02-13,,,,22
OI129221,O89161,U71373,P006,2022-12-28,,,,22
OI153811,O105955,U84794,P004,2023-06-26,,,,22
OI18025,O12410,U9903,P007,2021-07-20,2021-07-22,,,24
OI39096,O26899,U21390,P011,2021-11-13,2021-11-12,,,24
OI43343,O29816,U23706,P007,2020-03-16,2020-03-15,,,24
OI52007,O35722,U28453,P011,2022-04-29,2022-04-27,,,24
OI64257,O44182,U35272,P007,2022-11-15,2022-11-15,,,24
OI75458,O51953,U41497,P008,2022-12-24,2022-12-25,,,24
OI88048,O60736,U48651,P007,2023-04-05,2023-04-03,,,24
OI90321,O62310,U49932,P011,2023-06-28,2023-06-29,,,24
OI94361,O65097,U52120,P007,2023-04-20,2023-04-20,,,24
OI101185,O69753,U55873,P008,2022-01-24,2022-01-22,,,24
OI133471,O92075,U73721,P007,2021-09-29,2021-09-28,,,24
OI143267,O98764,U79066,P007,2022-10-29,2022-10-30,,,24
OI22693,O15607,U12511,P007,2022-04-23,2022-04-22,2022-04-25,2022-04-26,24
OI81519,O56151,U44940,P007,2021-12-30,,,,24
OI101210,O69770,U55886,P007,2023-04-24,,,,24
OI21044,O14471,U11601,P008,2023-06-17,,,,24
OI44859,O30862,U24565,P011,2022-11-30,,,,24
OI76695,O52796,U42202,P007,2022-01-21,,,,24
OI93921,O64794,U51862,P011,2023-05-29,,,,24
OI174311,O120076,U96025,P007,2021-03-06,,,,24
OI10432,O7146,U5757,P007,2022-09-21,2022-09-22,,,25
OI13994,O9643,U7769,P007,2023-04-27,2023-04-29,,,25
OI14313,O9863,U7944,P007,2022-06-21,2022-06-23,,,25
OI17154,O11808,U9421,P008,2023-03-14,2023-03-14,,,25
OI21169,O14560,U11673,P011,2021-10-24,2021-10-26,,,25
OI21353,O14691,U11792,P003,2023-04-19,2023-04-22,,,25
OI21597,O14860,U11927,P007,2023-02-06,2023-02-06,,,25
OI24039,O16538,U13222,P002,2021-10-28,2021-10-28,,,25
OI32228,O22154,U17669,P005,2022-03-21,2022-03-22,,,25
OI33443,O23012,U18342,P004,2021-11-02,2021-10-29,,,25
OI42481,O29228,U23220,P007,2022-06-08,2022-06-05,,,25
OI43034,O29607,U23529,P002,2022-08-23,2022-08-24,,,25
OI43347,O29819,U23711,P008,2023-05-12,2023-05-12,,,25
OI44926,O30904,U24608,P008,2023-05-02,2023-05-04,,,25
OI50414,O34653,U27591,P002,2023-03-10,2023-03-07,,,25
OI54831,O37688,U29989,P002,2023-01-23,2023-01-24,,,25
OI57827,O39726,U31623,P002,2023-05-03,2023-04-29,,,25
OI58294,O40061,U31908,P002,2022-02-27,2022-03-01,,,25
OI62643,O43066,U34366,P007,2022-10-30,2022-10-30,,,25
OI64781,O44563,U35594,P007,2022-09-27,2022-09-29,,,25
OI66140,O45540,U36379,P004,2021-01-23,2021-01-24,,,25
OI68195,O46989,U37509,P002,2022-10-14,2022-10-15,,,25
OI71179,O48981,U39140,P007,2023-05-02,2023-05-05,,,25
OI75243,O51793,U41376,P004,2020-12-02,2020-11-30,,,25
OI76431,O52625,U42051,P003,2019-10-24,2019-10-24,,,25
OI85128,O58669,U47007,P005,2023-06-26,2023-06-28,,,25
OI85750,O59120,U47367,P008,2023-04-25,2023-04-24,,,25
OI88776,O61241,U49066,P004,2022-10-30,2022-11-01,,,25
OI90740,O62592,U50140,P002,2023-01-22,2023-01-22,,,25
OI91705,O63254,U50659,P011,2023-06-29,2023-07-01,,,25
OI93171,O64264,U51459,P008,2021-08-29,2021-08-30,,,25
OI95580,O65935,U52765,P007,2023-01-26,2023-01-26,,,25
OI96492,O66574,U53270,P005,2022-10-24,2022-10-23,,,25
OI97384,O67202,U53793,P003,2023-02-23,2023-02-21,,,25
OI97913,O67550,U54086,P006,2023-03-11,2023-03-12,,,25
OI99590,O68671,U54989,P002,2021-09-28,2021-09-28,,,25
OI99705,O68744,U55047,P004,2023-04-06,2023-04-05,,,25
OI100249,O69109,U55333,P002,2022-12-10,2022-12-09,,,25
OI100900,O69549,U55705,P004,2022-05-22,2022-05-22,,,25
OI103191,O71184,U56990,P008,2023-03-02,2023-03-03,,,25
OI103259,O71232,U57024,P007,2023-06-15,2023-06-15,,,25
OI107254,O74004,U59270,P006,2021-09-18,2021-09-20,,,25
OI107605,O74232,U59428,P004,2023-02-04,2023-02-01,,,25
OI111290,O76759,U61435,P002,2020-06-10,2020-06-12,,,25
OI111903,O77203,U61786,P009,2023-03-17,2023-03-17,,,25
OI114758,O79134,U63248,P007,2022-10-21,2022-10-22,,,25
OI118814,O81967,U65479,P004,2022-11-19,2022-11-18,,,25
OI120391,O83051,U66319,P006,2022-10-30,2022-10-29,,,25
OI126266,O87091,U69709,P005,2021-12-30,2021-12-27,,,25
OI126882,O87527,U70052,P002,2021-03-24,2021-03-25,,,25
OI127644,O88056,U70504,P004,2021-10-08,2021-10-08,,,25
OI129996,O89704,U71788,P002,2023-05-14,2023-05-10,,,25
OI133975,O92442,U74028,P004,2022-07-14,2022-07-13,,,25
OI135108,O93205,U74634,P006,2021-07-09,2021-07-12,,,25
OI140858,O97104,U77741,P005,2022-05-06,2022-05-08,,,25
OI158748,O109406,U87569,P006,2021-08-04,2021-08-05,,,25
OI159273,O109762,U87860,P008,2021-10-23,2021-10-23,,,25
OI162752,O112176,U89735,P007,2023-04-23,2023-04-26,,,25
OI163001,O112350,U89871,P004,2022-03-23,2022-03-23,,,25
OI163131,O112438,U89946,P008,2023-06-28,2023-06-29,,,25
OI164249,O113173,U90524,P002,2021-03-10,2021-03-11,,,25
OI170687,O117573,U94062,P007,2022-05-03,2022-05-04,,,25
OI172743,O118954,U95149,P008,2020-04-17,2020-04-19,,,25
OI172828,O119016,U95197,P002,2020-05-27,2020-05-27,,,25
OI180116,O124092,U99283,P004,2022-07-14,2022-07-12,,,25
OI5923,O4055,U3241,P008,2022-11-17,2022-11-14,2022-11-15,,25
OI7065,O4831,U3856,P002,2021-07-16,2021-07-17,2021-07-22,,25
OI8437,O5775,U4676,P007,2022-06-23,2022-06-26,2022-06-29,,25
OI8679,O5938,U4820,P006,2019-02-21,2019-02-24,2019-02-24,,25
OI8745,O5984,U4849,P008,2022-08-01,2022-08-01,2022-08-04,,25
OI9248,O6314,U5116,P002,2023-02-15,2023-02-18,2023-02-23,,25
OI12273,O8432,U6758,P008,2023-04-23,2023-04-23,2023-04-24,,25
OI17627,O12131,U9683,P008,2022-06-23,2022-06-24,2022-06-25,,25
OI18746,O12899,U10290,P006,2023-03-22,2023-03-22,2023-03-26,,25
OI19449,O13381,U10696,P002,2023-01-05,2023-01-04,2023-01-06,,25
OI19939,O13715,U10992,P004,2022-11-27,2022-11-27,2022-11-29,,25
OI21267,O14635,U11751,P011,2020-10-31,2020-11-01,2020-11-05,,25
OI21833,O15023,U12063,P004,2023-01-19,2023-01-20,2023-01-20,,25
OI22746,O15646,U12547,P008,2022-10-21,2022-10-18,2022-10-22,,25
OI25987,O17863,U14243,P004,2022-10-04,2022-10-04,2022-10-06,,25
OI30462,O20945,U16714,P008,2022-11-25,2022-11-25,2022-11-30,,25
OI35417,O24365,U19421,P003,2023-06-13,2023-06-12,2023-06-13,,25
OI37253,O25594,U20358,P008,2022-07-01,2022-07-02,2022-07-06,,25
OI39829,O27407,U21782,P005,2023-03-07,2023-03-09,2023-03-13,,25
OI41197,O28355,U22547,P004,2021-06-30,2021-06-27,2021-07-01,,25
OI41625,O28655,U22778,P007,2023-05-02,2023-05-04,2023-05-06,,25
OI46061,O31669,U25212,P002,2023-05-01,2023-05-01,2023-05-02,,25
OI52915,O36349,U28940,P007,2022-07-13,2022-07-11,2022-07-16,,25
OI56662,O38939,U31013,P003,2021-12-04,2021-12-04,2021-12-05,,25
OI63987,O43987,U35110,P007,2022-11-21,2022-11-23,2022-11-27,,25
OI66536,O45811,U36584,P011,2022-09-11,2022-09-09,2022-09-13,,25
OI68566,O47236,U37711,P005,2022-03-25,2022-03-27,2022-04-01,,25
OI72660,O50012,U39972,P008,2021-05-27,2021-05-25,2021-05-27,,25
OI74563,O51335,U41010,P007,2023-05-30,2023-06-01,2023-06-02,,25
OI79457,O54709,U43756,P008,2023-04-04,2023-04-05,2023-04-10,,25
OI83667,O57618,U46143,P002,2023-06-27,2023-06-28,2023-06-29,,25
OI83765,O57690,U46204,P006,2022-09-13,2022-09-13,2022-09-14,,25
OI86762,O59836,U47927,P002,2022-01-28,2022-01-29,2022-02-03,,25
OI88268,O60892,U48782,P002,2023-04-21,2023-04-23,2023-04-24,,25
OI88814,O61263,U49084,P004,2022-09-15,2022-09-15,2022-09-16,,25
OI92403,O63741,U51033,P005,2022-05-11,2022-05-11,2022-05-12,,25
OI95662,O65993,U52804,P002,2019-06-06,2019-06-05,2019-06-09,,25
OI99726,O68761,U55064,P002,2020-09-07,2020-09-08,2020-09-08,,25
OI100410,O69224,U55440,P006,2021-10-05,2021-10-04,2021-10-07,,25
OI106432,O73438,U58818,P007,2020-08-23,2020-08-20,2020-08-24,,25
OI114857,O79201,U63300,P007,2023-05-12,2023-05-12,2023-05-13,,25
OI115406,O79599,U63620,P002,2021-02-16,2021-02-17,2021-02-19,,25
OI115649,O79749,U63739,P007,2021-12-20,2021-12-23,2021-12-26,,25
OI117952,O81383,U65017,P004,2020-10-24,2020-10-22,2020-10-24,,25
OI119263,O82275,U65723,P002,2022-07-27,2022-07-28,2022-07-30,,25
OI124916,O86171,U68937,P011,2022-09-08,2022-09-09,2022-09-11,,25
OI126095,O86981,U69624,P005,2023-05-20,2023-05-20,2023-05-21,,25
OI126272,O87096,U69714,P004,2022-12-28,2022-12-29,2023-01-01,,25
OI126475,O87242,U69841,P008,2021-11-30,2021-12-01,2021-12-03,,25
OI131904,O90994,U72819,P006,2023-03-02,2023-03-02,2023-03-03,,25
OI134505,O92809,U74308,P007,2020-05-01,2020-04-30,2020-05-05,,25
OI138390,O95437,U76421,P002,2022-07-25,2022-07-23,2022-07-26,,25
OI148130,O102104,U81740,P007,2022-05-05,2022-05-02,2022-05-06,,25
OI154224,O106245,U85037,P002,2023-01-05,2023-01-05,2023-01-08,,25
OI156431,O107781,U86243,P005,2022-12-15,2022-12-14,2022-12-19,,25
OI159791,O110110,U88130,P008,2022-09-18,2022-09-20,2022-09-24,,25
OI160526,O110630,U88545,P004,2022-06-05,2022-06-07,2022-06-12,,25
OI162219,O111784,U89433,P011,2022-12-09,2022-12-12,2022-12-16,,25
OI163069,O112396,U89914,P011,2022-03-14,2022-03-15,2022-03-19,,25
OI163266,O112523,U90015,P008,2020-07-01,2020-07-02,2020-07-07,,25
OI168434,O116034,U92831,P004,2022-10-27,2022-10-29,2022-11-01,,25
OI171219,O117922,U94320,P005,2022-11-10,2022-11-10,2022-11-12,,25
OI172570,O118831,U95052,P004,2023-05-14,2023-05-15,2023-05-18,,25
OI176179,O121387,U97107,P002,2022-01-23,2022-01-22,2022-01-25,,25
OI178005,O122645,U98130,P007,2023-06-19,2023-06-22,2023-06-23,,25
OI3267,O2220,U1768,P002,2022-02-19,2022-02-21,2022-02-22,2022-02-22,25
OI7577,O5198,U4194,P006,2022-05-03,2022-05-01,2022-05-03,2022-05-06,25
OI33100,O22770,U18144,P008,2023-06-22,2023-06-22,2023-06-23,2023-06-23,25
OI42835,O29477,U23430,P007,2022-08-16,2022-08-17,2022-08-20,2022-08-20,25
OI67651,O46594,U37183,P005,2022-05-12,2022-05-10,2022-05-13,2022-05-16,25
OI69091,O47567,U38002,P002,2023-05-30,2023-05-28,2023-05-29,2023-05-29,25
OI107279,O74021,U59277,P006,2021-05-19,2021-05-21,2021-05-25,2021-05-26,25
OI119222,O82252,U65709,P002,2022-09-29,2022-09-30,2022-10-02,2022-10-03,25
OI121226,O83638,U66792,P002,2023-04-17,2023-04-17,2023-04-21,2023-04-22,25
OI121684,O83962,U67065,P007,2022-08-07,2022-08-03,2022-08-07,2022-08-08,25
OI135033,O93150,U74591,P002,2019-06-09,2019-06-10,2019-06-11,2019-06-14,25
OI146866,O101230,U81043,P006,2023-03-24,2023-03-21,2023-03-23,2023-03-24,25
OI150528,O103727,U83018,P007,2022-01-21,2022-01-23,2022-01-26,2022-01-29,25
OI150807,O103924,U83189,P004,2021-10-15,2021-10-13,2021-10-15,2021-10-17,25
OI161288,O111153,U88943,P002,2021-11-17,2021-11-17,2021-11-20,2021-11-23,25
OI161636,O111398,U89125,P005,2023-06-05,2023-06-04,2023-06-08,2023-06-09,25
OI1487,O1004,U799,P002,2023-04-21,,,,25
OI5599,O3833,U3063,P004,2021-07-13,,,,25
OI16688,O11499,U9175,P004,2021-02-07,,,,25
OI26493,O18213,U14509,P002,2021-05-22,,,,25
OI28836,O19803,U15806,P007,2021-01-12,,,,25
OI29285,O20113,U16064,P002,2022-07-19,,,,25
OI31470,O21636,U17262,P009,2022-01-09,,,,25
OI34475,O23708,U18886,P002,2023-02-12,,,,25
OI35162,O24197,U19276,P004,2021-04-17,,,,25
OI36224,O24900,U19807,P002,2021-04-15,,,,25
OI36922,O25366,U20183,P003,2022-01-28,,,,25
OI38644,O26589,U21151,P004,2023-02-09,,,,25
OI39880,O27444,U21811,P002,2021-01-25,,,,25
OI66489,O45782,U36562,P008,2022-08-15,,,,25
OI70301,O48386,U38682,P009,2022-07-12,,,,25
OI72613,O49974,U39948,P008,2022-02-23,,,,25
OI77005,O53007,U42358,P006,2023-06-02,,,,25
OI78614,O54124,U43281,P007,2022-03-07,,,,25
OI92724,O63951,U51196,P007,2022-10-11,,,,25
OI95407,O65819,U52659,P008,2020-12-20,,,,25
OI100898,O69547,U55704,P006,2023-06-02,,,,25
OI113459,O78263,U62575,P011,2022-12-14,,,,25
OI115511,O79665,U63674,P007,2019-10-28,,,,25
OI120671,O83238,U66457,P009,2019-10-20,,,,25
