order_id,user_id,status,gender,created_at,shipped_at,delivered_at,returned_at,num_of_item
O103142,U82559,Cancelled,F,2023-05-03,,,,1
O103151,U82567,Cancelled,F,2022-01-14,,,,4
O103156,U82570,Complete,F,2022-02-13,2022-02-15,2022-02-20,,1
O103164,U82575,Processing,F,2023-06-23,,,,4
O103183,U82586,Shipped,F,2023-01-03,2023-01-06,,,1
O103184,U82587,Shipped,F,2023-04-15,2023-04-17,,,1
O103191,U82591,Shipped,F,2023-01-26,2023-01-29,,,4
O103210,U82609,Returned,F,2022-12-28,2022-12-29,2022-12-31,2022-12-31,4
O103211,U82610,Processing,F,2022-02-10,,,,4
O103271,U82656,Complete,F,2021-05-23,2021-05-22,2021-05-22,,2
O103281,U82663,Processing,F,2022-06-17,,,,2
O103287,U82669,Complete,F,2020-12-07,2020-12-07,2020-12-10,,4
O103299,U82678,Complete,F,2023-05-10,2023-05-11,2023-05-15,,2
O103346,U82713,Complete,F,2023-03-02,2023-03-03,2023-03-05,,1
O103358,U82722,Complete,F,2019-12-25,2019-12-27,2019-12-31,,1
O103413,U82764,Processing,F,2023-05-26,,,,1
O10345,U8307,Cancelled,F,2023-05-18,,,,1
O103453,U82799,Cancelled,F,2020-09-19,,,,1
O103490,U82823,Complete,F,2020-05-03,2020-05-04,2020-05-07,,1
O103498,U82832,Complete,F,2022-10-20,2022-10-22,2022-10-25,,4
O103519,U82849,Shipped,F,2023-06-26,2023-06-28,,,1
O103532,U82856,Shipped,F,2022-05-23,2022-05-21,,,2
O103540,U82859,Returned,F,2023-06-27,2023-06-27,2023-06-28,2023-06-28,1
O103607,U82909,Cancelled,F,2023-04-29,,,,1
O103613,U82914,Complete,F,2021-09-22,2021-09-23,2021-09-25,,1
O103614,U82918,Processing,F,2023-06-13,,,,4
O10362,U8319,Cancelled,F,2022-03-15,,,,1
O103635,U82934,Shipped,F,2022-02-01,2022-02-04,,,1
O103638,U82938,Shipped,F,2023-06-13,2023-06-13,,,2
O103644,U82943,Returned,F,2023-06-29,2023-06-27,2023-07-01,2023-07-01,3
O103676,U82973,Processing,F,2022-12-16,,,,2
O103688,U82987,Cancelled,F,2022-08-13,,,,1
O103689,U82987,Shipped,F,2023-03-03,2023-03-04,,,1
O103692,U82988,Cancelled,F,2022-01-26,,,,1
O103694,U82988,Processing,F,2023-04-24,,,,4
O103710,U83003,Returned,F,2023-06-20,2023-06-21,2023-06-26,2023-06-26,1
O103725,U83018,Complete,F,2023-05-09,2023-05-07,2023-05-10,,3
O103727,U83018,Returned,F,2022-01-21,2022-01-23,2022-01-26,2022-01-26,1
O103740,U83029,Complete,F,2023-05-19,2023-05-22,2023-05-22,,4
O103744,U83033,Processing,F,2022-05-18,,,,1
O103764,U83051,Complete,F,2023-06-27,2023-06-28,2023-07-01,,1
O103782,U83066,Complete,F,2021-01-04,2021-01-03,2021-01-05,,2
O103797,U83085,Shipped,F,2021-05-19,2021-05-16,,,2
O103803,U83092,Complete,F,2022-05-02,2022-05-04,2022-05-09,,1
O103818,U83105,Shipped,F,2022-09-05,2022-09-07,,,1
O10383,U8335,Complete,F,2022-04-26,2022-04-28,2022-04-30,,1
O103832,U83116,Processing,F,2020-06-20,,,,2
O103851,U83127,Processing,F,2023-06-28,,,,2
O10387,U8339,Complete,F,2022-01-21,2022-01-23,2022-01-24,,1
O103871,U83142,Shipped,F,2022-05-31,2022-06-03,,,1
O10388,U8339,Processing,F,2022-02-18,,,,1
O10391,U8342,Shipped,F,2019-12-06,2019-12-07,,,1
O103914,U83178,Shipped,F,2022-01-14,2022-01-13,,,2
O103919,U83183,Complete,F,2021-05-25,2021-05-26,2021-05-29,,1
O103924,U83189,Returned,F,2021-10-15,2021-10-13,2021-10-15,2021-10-15,3
O103927,U83190,Shipped,F,2021-03-13,2021-03-14,,,1
O103945,U83203,Shipped,F,2022-12-30,2022-12-28,,,3
O103973,U83227,Cancelled,F,2023-04-27,,,,2
O103979,U83231,Processing,F,2023-05-22,,,,4
O103992,U83239,Cancelled,F,2022-06-09,,,,1
O104001,U83248,Returned,F,2020-07-13,2020-07-13,2020-07-14,2020-07-14,3
O104007,U83254,Cancelled,F,2022-01-16,,,,1
O104043,U83283,Processing,F,2023-05-16,,,,2
O104050,U83291,Shipped,F,2021-05-17,2021-05-17,,,3
O104057,U83297,Complete,F,2020-10-27,2020-10-27,2020-10-30,,4
O104099,U83327,Complete,F,2022-03-22,2022-03-22,2022-03-24,,2
O104103,U83330,Returned,F,2022-07-27,2022-07-28,2022-08-01,2022-08-01,4
O104145,U83366,Returned,F,2021-12-30,2021-12-28,2022-01-02,2022-01-02,2
O104148,U83369,Complete,F,2022-01-25,2022-01-26,2022-01-29,,2
O104160,U83375,Complete,F,2021-05-11,2021-05-13,2021-05-15,,2
O104179,U83388,Cancelled,F,2023-05-06,,,,1
O104182,U83390,Cancelled,F,2022-01-23,,,,3
O104187,U83395,Cancelled,F,2021-12-29,,,,4
O104191,U83402,Cancelled,F,2023-04-03,,,,2
O104220,U83431,Complete,F,2023-03-11,2023-03-14,2023-03-14,,3
O104226,U83434,Cancelled,F,2022-11-16,,,,3
O104247,U83450,Shipped,F,2021-06-29,2021-07-01,,,1
O104251,U83452,Complete,F,2020-05-17,2020-05-19,2020-05-22,,1
O104279,U83466,Shipped,F,2022-04-06,2022-04-04,,,2
O10428,U8369,Processing,F,2020-06-18,,,,4
O104298,U83484,Cancelled,F,2022-06-22,,,,2
O104320,U83501,Shipped,F,2022-05-15,2022-05-14,,,2
O104322,U83502,Shipped,F,2020-05-25,2020-05-28,,,1
O10437,U8375,Processing,F,2022-08-05,,,,1
O104394,U83559,Cancelled,F,2021-03-11,,,,2
O104416,U83575,Shipped,F,2023-02-17,2023-02-14,,,2
O104419,U83580,Processing,F,2023-05-27,,,,1
O104420,U83581,Cancelled,F,2021-10-18,,,,2
O104421,U83581,Complete,F,2021-10-31,2021-11-02,2021-11-05,,1
O104449,U83606,Shipped,F,2023-03-24,2023-03-26,,,1
O104459,U83614,Shipped,F,2023-06-06,2023-06-05,,,2
O104460,U83616,Cancelled,F,2023-02-09,,,,2
O104479,U83633,Shipped,F,2023-06-05,2023-06-07,,,1
O10451,U8383,Cancelled,F,2020-05-17,,,,4
O104522,U83666,Complete,F,2021-07-10,2021-07-11,2021-07-11,,1
O104539,U83679,Shipped,F,2022-02-02,2022-02-02,,,1
O104542,U83682,Complete,F,2022-11-23,2022-11-23,2022-11-26,,2
O104543,U83684,Processing,F,2023-01-08,,,,4
O104556,U83693,Complete,F,2023-04-08,2023-04-11,2023-04-11,,1
O104569,U83701,Returned,F,2022-01-09,2022-01-10,2022-01-15,2022-01-15,1
O104590,U83715,Processing,F,2021-05-27,,,,1
O104596,U83718,Complete,F,2022-11-13,2022-11-14,2022-11-18,,1
O104618,U83731,Complete,F,2021-12-21,2021-12-21,2021-12-22,,1
O104639,U83746,Shipped,F,2021-12-25,2021-12-25,,,2
O104649,U83752,Complete,F,2023-03-04,2023-03-05,2023-03-05,,2
O104650,U83752,Shipped,F,2023-03-19,2023-03-23,,,1
O104653,U83755,Complete,F,2020-02-04,2020-02-05,2020-02-10,,1
O104700,U83800,Complete,F,2022-10-27,2022-10-27,2022-10-28,,1
O104712,U83809,Processing,F,2021-09-18,,,,2
O104715,U83810,Cancelled,F,2023-04-16,,,,2
O104742,U83835,Shipped,F,2022-03-30,2022-04-01,,,3
O104767,U83848,Complete,F,2021-03-28,2021-03-31,2021-04-03,,1
O104778,U83854,Processing,F,2022-10-01,,,,2
O104779,U83854,Shipped,F,2022-10-14,2022-10-14,,,4
O104784,U83859,Complete,F,2023-06-12,2023-06-13,2023-06-17,,2
O104800,U83875,Cancelled,F,2023-04-22,,,,2
O104801,U83875,Shipped,F,2023-05-30,2023-05-29,,,4
O10481,U8406,Processing,F,2022-12-09,,,,3
O104830,U83894,Cancelled,F,2019-07-24,,,,1
O104843,U83910,Processing,F,2021-05-27,,,,1
O104874,U83937,Returned,F,2021-10-10,2021-10-07,2021-10-09,2021-10-09,3
O10488,U8410,Shipped,F,2022-03-12,2022-03-14,,,2
O104882,U83945,Shipped,F,2022-07-02,2022-07-03,,,2
O104890,U83952,Cancelled,F,2023-05-19,,,,1
O104901,U83957,Shipped,F,2023-01-31,2023-02-01,,,2
O104933,U83983,Complete,F,2023-02-25,2023-02-28,2023-03-04,,1
O104947,U83997,Shipped,F,2023-03-13,2023-03-12,,,2
O104968,U84012,Cancelled,F,2023-01-08,,,,3
O10498,U8419,Cancelled,F,2021-06-16,,,,1
O104989,U84030,Complete,F,2023-01-02,2023-01-03,2023-01-05,,2
O10506,U8425,Processing,F,2022-04-04,,,,1
O105069,U84083,Complete,F,2022-11-09,2022-11-12,2022-11-16,,1
O105081,U84094,Cancelled,F,2023-03-18,,,,1
O105092,U84102,Processing,F,2019-02-13,,,,2
O105096,U84106,Shipped,F,2020-08-05,2020-08-07,,,1
O105128,U84128,Complete,F,2023-06-28,2023-06-30,2023-07-01,,1
O105142,U84142,Shipped,F,2022-07-07,2022-07-07,,,4
O105146,U84146,Shipped,F,2022-03-16,2022-03-18,,,1
O105165,U84161,Returned,F,2021-03-22,2021-03-23,2021-03-24,2021-03-24,2
O105202,U84189,Returned,F,2023-03-10,2023-03-10,2023-03-10,2023-03-10,2
O105209,U84195,Processing,F,2023-05-03,,,,2
O105253,U84235,Returned,F,2023-06-26,2023-06-28,2023-07-01,2023-07-01,1
O105257,U84239,Complete,F,2022-10-18,2022-10-20,2022-10-24,,1
O105262,U84244,Cancelled,F,2023-06-28,,,,2
O105279,U84256,Shipped,F,2022-12-01,2022-12-02,,,1
O105289,U84263,Complete,F,2020-11-21,2020-11-22,2020-11-25,,2
O105327,U84288,Shipped,F,2021-09-14,2021-09-16,,,4
O10535,U8447,Shipped,F,2021-07-26,2021-07-29,,,1
O105350,U84309,Processing,F,2023-06-12,,,,1
O105353,U84311,Processing,F,2022-06-05,,,,1
O105354,U84312,Complete,F,2023-03-01,2023-02-26,2023-03-02,,3
O105357,U84316,Shipped,F,2019-10-08,2019-10-08,,,2
O105368,U84324,Processing,F,2023-06-30,,,,2
O105369,U84325,Processing,F,2021-11-13,,,,2
O10537,U8448,Shipped,F,2022-05-01,2022-05-01,,,1
O10538,U8448,Shipped,F,2023-04-10,2023-04-08,,,2
O105399,U84346,Shipped,F,2023-04-27,2023-04-26,,,4
O105416,U84361,Complete,F,2022-11-15,2022-11-16,2022-11-18,,1
O105420,U84364,Complete,F,2023-05-27,2023-05-29,2023-06-03,,1
O105460,U84398,Shipped,F,2023-02-09,2023-02-09,,,3
O105485,U84417,Processing,F,2021-06-05,,,,2
O105503,U84429,Complete,F,2023-06-09,2023-06-11,2023-06-14,,1
O105507,U84433,Processing,F,2020-10-25,,,,2
O105548,U84461,Cancelled,F,2023-03-07,,,,2
O105554,U84466,Shipped,F,2020-07-10,2020-07-12,,,1
O105557,U84470,Cancelled,F,2023-05-01,,,,1
O105570,U84484,Processing,F,2023-03-04,,,,1
O105574,U84486,Shipped,F,2019-12-10,2019-12-10,,,1
O105580,U84489,Shipped,F,2022-12-24,2022-12-25,,,1
O105599,U84504,Shipped,F,2023-05-19,2023-05-19,,,4
O10560,U8465,Returned,F,2021-08-09,2021-08-09,2021-08-11,2021-08-11,4
O105609,U84507,Complete,F,2023-02-02,2023-02-03,2023-02-06,,1
O105612,U84510,Complete,F,2022-06-29,2022-06-30,2022-07-05,,1
O105618,U84513,Processing,F,2020-02-16,,,,4
O105642,U84529,Shipped,F,2022-02-12,2022-02-13,,,1
O105644,U84531,Returned,F,2022-12-15,2022-12-17,2022-12-21,2022-12-21,1
O105674,U84554,Returned,F,2022-04-10,2022-04-10,2022-04-15,2022-04-15,1
O105678,U84559,Cancelled,F,2022-05-31,,,,1
O105681,U84562,Returned,F,2022-11-06,2022-11-08,2022-11-08,2022-11-08,1
O105685,U84567,Shipped,F,2023-04-02,2023-04-01,,,4
O105701,U84580,Processing,F,2022-08-20,,,,1
O105728,U84596,Cancelled,F,2022-07-05,,,,1
O105771,U84631,Returned,F,2022-03-27,2022-03-23,2022-03-25,2022-03-25,2
O10578,U8478,Shipped,F,2021-08-12,2021-08-14,,,1
O10581,U8480,Cancelled,F,2021-11-22,,,,4
O105813,U84663,Shipped,F,2023-01-21,2023-01-22,,,1
O105815,U84663,Cancelled,F,2022-08-04,,,,2
O105819,U84668,Shipped,F,2023-04-03,2023-04-04,,,4
O105834,U84681,Processing,F,2023-05-11,,,,2
O105873,U84713,Shipped,F,2023-06-30,2023-07-02,,,1
O105883,U84722,Processing,F,2023-01-23,,,,1
O105885,U84722,Cancelled,F,2023-02-03,,,,1
O105890,U84726,Shipped,F,2022-07-30,2022-07-29,,,4
O105909,U84743,Complete,F,2022-12-26,2022-12-27,2022-12-30,,2
O105911,U84743,Shipped,F,2019-07-24,2019-07-24,,,2
O105915,U84744,Cancelled,F,2020-03-16,,,,2
O10592,U8486,Shipped,F,2023-01-04,2023-01-05,,,1
O105926,U84762,Complete,F,2022-03-27,2022-03-27,2022-03-28,,4
O105947,U84784,Shipped,F,2019-11-03,2019-11-01,,,4
O105955,U84794,Processing,F,2023-06-26,,,,2
O105979,U84814,Shipped,F,2022-11-18,2022-11-21,,,1
O105981,U84814,Shipped,F,2022-08-01,2022-08-01,,,2
O105986,U84819,Processing,F,2021-07-11,,,,3
O1060,U842,Shipped,F,2022-06-22,2022-06-24,,,1
O106006,U84837,Complete,F,2023-05-24,2023-05-24,2023-05-26,,3
O106007,U84838,Returned,F,2023-04-18,2023-04-20,2023-04-25,2023-04-25,4
O106024,U84848,Shipped,F,2020-11-26,2020-11-29,,,2
O106048,U84866,Shipped,F,2023-06-23,2023-06-24,,,1
O106056,U84869,Processing,F,2022-06-12,,,,1
O106060,U84875,Complete,F,2022-01-09,2022-01-12,2022-01-15,,1
O106073,U84885,Complete,F,2020-07-21,2020-07-20,2020-07-25,,2
O106079,U84890,Shipped,F,2021-03-21,2021-03-21,,,1
O106097,U84904,Complete,F,2021-09-24,2021-09-22,2021-09-27,,2
O10612,U8501,Complete,F,2022-09-20,2022-09-21,2022-09-25,,3
O106146,U84956,Shipped,F,2023-06-18,2023-06-16,,,2
O106187,U84993,Returned,F,2023-04-15,2023-04-18,2023-04-21,2023-04-21,1
O106202,U85003,Shipped,F,2023-05-25,2023-05-26,,,1
O106211,U85010,Shipped,F,2023-05-10,2023-05-07,,,2
O106225,U85022,Processing,F,2022-07-13,,,,3
O106235,U85030,Shipped,F,2023-06-15,2023-06-16,,,1
O106244,U85036,Processing,F,2021-06-16,,,,1
O106245,U85037,Complete,F,2023-01-05,2023-01-05,2023-01-08,,2
O106282,U85066,Cancelled,F,2023-03-25,,,,3
O106312,U85084,Processing,F,2022-07-05,,,,1
